model_id,model_type,language,weat_category_id,layer_idx,combined_effect_size,variance,tau_squared,i_squared,q_statistic,confidence_interval_lower,confidence_interval_upper,z_score,p_value_two_tailed,p_value_one_tailed,significant_05,significant_01,n_templates,between_context_variance,context_consistency,max_context_difference,total_sentences_generated,total_words,comments
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,0,0.39526522,0.005097736,0,0,0.028098036,0.25532687108078345,0.5352035721107449,5.5360494,3.0937040262912774e-08,1.5468520131456387e-08,True,True,16,0.00014266983,0.9697822,0.04934469,1600,100,Enhanced_CEAT_finetuned_en_WEAT1_layer0
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,1,0.8431363,0.0054458897,0,0,0.46748388,0.6984982747195302,0.987774346435255,11.425188,0.0,0.0,True,True,16,0.0025378137,0.9402853,0.16194576,1600,100,Enhanced_CEAT_finetuned_en_WEAT1_layer1
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,2,1.235243,0.005956878,0,0,0.8695014,1.0839713544051206,1.3865145712693179,16.004536,0.0,0.0,True,True,16,0.0052188677,0.9415804,0.24718618,1600,100,Enhanced_CEAT_finetuned_en_WEAT1_layer2
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,3,1.4865981,0.006386543,0,0,1.3302227,1.329965943591962,1.643230324489703,18.602043,0.0,0.0,True,True,16,0.00847691,0.9381691,0.2563939,1600,100,Enhanced_CEAT_finetuned_en_WEAT1_layer3
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,4,1.458461,0.0063358955,0,0,1.6293118,1.302451171662319,1.614470920775425,18.322758,0.0,0.0,True,True,16,0.010392107,0.9302465,0.3123691,1600,100,Enhanced_CEAT_finetuned_en_WEAT1_layer4
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,5,1.4991893,0.0064096325,0,0,1.2238765,1.342274180382347,1.6561043348611832,18.725779,0.0,0.0,True,True,16,0.007883552,0.94086605,0.25271082,1600,100,Enhanced_CEAT_finetuned_en_WEAT1_layer5
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,6,1.5593579,0.006524754,0,0,1.2277497,1.4010399212237448,1.7176758418682962,19.30473,0.0,0.0,True,True,16,0.008002349,0.9427207,0.33383954,1600,100,Enhanced_CEAT_finetuned_en_WEAT1_layer6
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,7,1.5448569,0.0064980187,0,0,1.5769376,1.3868636404212284,1.7028501714531612,19.164513,0.0,0.0,True,True,16,0.010040818,0.9352617,0.4226488,1600,100,Enhanced_CEAT_finetuned_en_WEAT1_layer7
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,8,1.509647,0.0064283544,0,0,0.98530775,1.35250294691875,1.666791076595044,18.828924,0.0,0.0,True,True,16,0.0063229064,0.9473922,0.30241966,1600,100,Enhanced_CEAT_finetuned_en_WEAT1_layer8
DebK/Llama-3.2-1B-finetuned-alpaca-hindi_full,finetuned,en,WEAT1,9,1.5349747,0.0064754724,0,0,0.7116529,1.3772557728478596,1.6926936156561687,19.075043,0.0,0.0,True,True,16,0.00464333,0.9556469,0.27610838,1600,100,Enhanced_CEAT_finetuned_en_WEAT1_layer9
